"","Family","Genus","Species","Museum_number","Date","Year","Country","Location","Latitude","Longitude","Reference","Holotype","Checked"
"144","Hipposideridae","Hipposideros","curtus","","",NA,"Cameroon","Mamfe",5.783,9.3,"Aellen 1952","",""
"145","Hipposideridae","Hipposideros","fuliginosus","","",NA,"Cameroon","Ndikinimeki",4.783,10.8,"Aellen 1952","",""
"146","Hipposideridae","Macronycteris","gigas","","",NA,"Cameroon","Bonge",4.033,9.183,"Aellen 1952","",""
"147","Hipposideridae","Macronycteris","gigas","","",NA,"Cameroon","Douala",4.683,9.7,"Aellen 1952","",""
"148","Hipposideridae","Macronycteris","gigas","","",NA,"Cameroon","Yaounde",3.867,11.517,"Aellen 1952","",""
"149","Megadermatidae","Lavia","frons","","",NA,"Cameroon","Maroua",10.617,14.283,"Aellen 1952","",""
"150","Megadermatidae","Lavia","frons","","",NA,"Cameroon","Yaounde",3.867,11.517,"Aellen 1952","",""
"151","Miniopteridae","Miniopterus","inflatus","NHMUK1093.2.4.8","01-Dec-03",1903,"Cameroon","Efulen",2.867,10.567,"Aellen 1952","Holotype",""
"152","Miniopteridae","Miniopterus","inflatus","","",NA,"Cameroon","Mount Cameroon",4.15,9.233,"Aellen 1952","",""
"153","Molossidae","Mops","leonis","","",NA,"Cameroon","Bitye",3.217,12.367,"Aellen 1952","",""
"154","Molossidae","Mops","pumilus","","",NA,"Cameroon","Rei Bouba",8.617,14.15,"Aellen 1952","",""
"155","Molossidae","Mops","pumilus","","",NA,"Cameroon","Victoria (= Limbe)",4.017,9.2,"Aellen 1952","",""
"156","Molossidae","Mops","thersites","NHMUK1904.2.8.4","01-Dec-03",1903,"Cameroon","Efulen",2.867,10.567,"Aellen 1952","Holotype",""
"157","Molossidae","Mops","thersites","","",NA,"Cameroon","Ndikinimeki",4.783,10.8,"Aellen 1952","",""
"158","Molossidae","Myopterus","whitleyi","","",NA,"Cameroon","Mukonje",4.583,9.5,"Aellen 1952","",""
"159","Nycteridae","Nycteris","arge","","",NA,"Cameroon","Besongabang",5.707,9.298,"Aellen 1952","",""
"160","Nycteridae","Nycteris","arge","","",NA,"Cameroon","Eshobi",5.785,9.36,"Aellen 1952","",""
"161","Nycteridae","Nycteris","arge","","",NA,"Cameroon","Konn",4.867,11.067,"Aellen 1952","",""
"162","Nycteridae","Nycteris","arge","","",NA,"Cameroon","Kribi",2.967,9.917,"Aellen 1952","",""
"163","Nycteridae","Nycteris","arge","","",NA,"Cameroon","Mamfe",5.783,9.3,"Aellen 1952","",""
"164","Nycteridae","Nycteris","grandis","","",NA,"Cameroon","Bitye",3.217,12.367,"Aellen 1952","",""
"165","Nycteridae","Nycteris","hispida","","",NA,"Cameroon","Mamfe",5.783,9.3,"Aellen 1952","",""
"166","Nycteridae","Nycteris","macrotis","","",NA,"Cameroon","Ngaouyanga",7.983,13.6,"Aellen 1952","",""
"167","Nycteridae","Nycteris","macrotis","","",NA,"Cameroon","Tibati",6.417,12.533,"Aellen 1952","",""
"168","Nycteridae","Nycteris","major","NHMUK1909.10.2.49","23-Jan-02",1902,"Cameroon","Dja River",2.817,13.5,"Aellen 1952","Holotype",""
"169","Nycteridae","Nycteris","nana","","",NA,"Cameroon","Mabiogo",2.383,9.9,"Aellen 1952","",""
"170","Nycteridae","Nycteris","parisii","","",NA,"Cameroon","Rei Bouba",8.617,14.15,"Aellen 1952","",""
"171","Pteropodidae","Casinycteris","argynnis","NHMUK1911.5.5.1","19-Nov-09",1909,"Cameroon","Bitye",3.217,12.367,"Aellen 1952","Holotype",""
"172","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Bimbia",3.97,9.233,"Aellen 1952","",""
"173","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Bipindi",3.083,10.5,"Aellen 1952","",""
"174","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Campo",2.4,9.85,"Aellen 1952","",""
"175","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Douala",4.683,9.7,"Aellen 1952","",""
"176","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Edea",3.8,10.233,"Aellen 1952","",""
