Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
Emballonuridae,Saccolaimus,peli,,,NA,Angola,Lago Calundo,-11.72,20.8,Crawford-Cabral 1989,,
Emballonuridae,Saccolaimus,peli,,,NA,Cameroon,Barombi,4.6669,9.4,Aellen 1952,,
Emballonuridae,Saccolaimus,peli,,,NA,Cameroon,Mamfe,5.7833,9.3,Aellen 1952,,
Emballonuridae,Saccolaimus,peli,,,NA,Cameroon,Mount Cameroon,4.15,9.2333,Aellen 1952,,
Emballonuridae,Saccolaimus,peli,,,NA,Cameroon,Yaounde,3.8667,11.5167,Aellen 1952,,
Emballonuridae,Saccolaimus,peli,RMCA,,1909,Democratic Republic of Congo,Avakubi,1.3,27.5833,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,AMNH,,1909,Democratic Republic of Congo,Bafwabaka,2.1667,27.7167,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1939,Democratic Republic of Congo,"Beni, fort",0.4333,29.5833,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1950,Democratic Republic of Congo,Beno ,-3.7,17.7667,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1952,Democratic Republic of Congo,Bokoro,-2.8333,18.4,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1956,Democratic Republic of Congo,Djeka,-2.7833,23.9167,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1946,Democratic Republic of Congo,Ikela,-1.1333,23.0833,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,BMNH,,NA,Democratic Republic of Congo,Inkongo,-4.92,23.25,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA14913,,1922,Democratic Republic of Congo,Kikwit,-5.22,18.82,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1929,Democratic Republic of Congo,Kunungu,-2.1,16.4333,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1913,Democratic Republic of Congo,Lesse,0.75,29.8,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,AMNH,,1930,Democratic Republic of Congo,Lukolela,-1.1667,17.1833,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,BMNH,,NA,Democratic Republic of Congo,Luluabourg (=Kananga),-5.88,22.43,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1910,Democratic Republic of Congo,Medje,2.4167,27.3,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,FMNH,,1924,Democratic Republic of Congo,Moera,0.65,29.5,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,AMNH,,1909,Democratic Republic of Congo,Ngayu,1.75,27.55,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,AMNH,,1913,Democratic Republic of Congo,Niangara,3.7167,27.8667,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1959,Democratic Republic of Congo,Omaniundu,-3.35,23.25,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1925,Democratic Republic of Congo,Panga,1.8667,26.3833,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1939,Democratic Republic of Congo,Pawa,2.5333,27.6667,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,AMNH,,1913,Democratic Republic of Congo,Rungu,3.25,27.95,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,USNM,,1979,Democratic Republic of Congo,Yalosemba,2.58,21.85,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,RMCA,,1952,Democratic Republic of Congo,Yokamba,-0.3167,21.65,Van Cakenberghe et al. 2017,,
Emballonuridae,Saccolaimus,peli,,,1964,Gabon,Makokou,0.55,12.85,Brosset 1966b,,
Emballonuridae,Saccolaimus,peli,,,NA,Ghana,,5.37,-2.37,Grubb et al. 1998,,
Emballonuridae,Saccolaimus,peli,,,NA,Ghana,,5.62,-1.37,Grubb et al. 1998,,
Emballonuridae,Saccolaimus,peli,,,NA,Ghana,,6.37,-1.12,Grubb et al. 1998,,
Emballonuridae,Saccolaimus,peli,,,NA,Ghana,,6.87,-1.62,Grubb et al. 1998,,
Emballonuridae,Saccolaimus,peli,,,NA,Ghana,,7.37,-2.37,Grubb et al. 1998,,
Emballonuridae,Saccolaimus,peli,,,1853,Ghana,Boutry river,4.85,-1.917,Van Cakenberghe & Seamark 2022,Holotype,
Emballonuridae,Saccolaimus,peli,,,NA,Guinea,Ziama,8.2,-9.3333,Fahr et al. 2006,,
Emballonuridae,Saccolaimus,peli,RMCA,,1965,Ivory Coast,Buyo,6.2667,-3,de Vree 1971,,
Emballonuridae,Saccolaimus,peli,,,2000,Ivory Coast,Tai NP,5.8333,-7.35,Fahr & Kalko 2011,,
Emballonuridae,Saccolaimus,peli,MHNG,,NA,Ivory Coast,,6.85,-5.3,GBIF,,
Emballonuridae,Saccolaimus,peli,,,NA,Kenya,Kaimosi,0.1333,34.85,Aggundey & Schlitter 1984,,
Emballonuridae,Saccolaimus,peli,,,NA,Kenya,Nandi Forest,0.3333,35.0667,Aggundey & Schlitter 1984,,
Emballonuridae,Saccolaimus,peli,,,1964,Liberia,Mount Nimba,7.4833,-8.5667,Coe 1975,,
